S_No,Latitude,Longitude
307,7.225191,80.019725
308,5.95991,80.456462
309,5.976931,80.518279
310,7.942272,81.00885
311,7.940062,81.001414
312,7.947439,81.247687
313,7.942774,81.010666
314,8.073976,80.68388
315,8.088878,80.654188
316,8.205151,80.523369
317,8.11988,80.573444
318,8.274571,80.499773
319,8.324886,80.462578
320,7.915612,81.002446
321,8.038374,80.905381
322,7.25612,80.550833
323,7.252439,80.545869
324,7.255239,80.546885
325,7.248131,80.544632
326,6.02498,80.495928
327,6.023977,80.49603
328,5.984112,80.521127
329,7.258342,80.555664
330,6.896186,80.919836
331,6.878761,80.942304
332,7.263384,80.593103
333,6.942339,79.961833
334,6.944075,79.954807
335,5.986366,80.521519
336,6.934677,79.867414
337,6.009833,80.771282
338,7.951431,80.758844
339,7.06874,80.539319
340,7.080075,80.543492
341,6.138847,80.111199
342,5.941136,80.494445
343,6.617536,80.113722
344,6.625473,80.159385
345,6.587368,80.159292
346,5.940987,80.493875
347,6.923978,79.912747
348,6.873027,80.564354
349,6.916825,79.864967
350,6.918995,79.861505
351,6.916674,79.86331
352,6.9191,79.860404
353,6.916176,79.864747
354,6.91957,79.859813
355,6.917145,79.86618
356,6.916439,79.862585
357,7.068313,80.686165
358,6.872497,81.049363
359,6.297862,81.236756
360,9.660565,80.041
361,9.661051,80.049616
362,7.267292,80.571282
363,6.971404,79.976913
364,6.969419,79.983639
365,6.880407,79.876447
366,6.970289,79.982277
367,6.971054,79.973543
368,6.967818,79.967482
369,6.967531,79.961159
370,6.969524,79.954462
371,6.974289,79.950819
372,6.976412,79.947167
373,6.976728,79.93255
374,6.910732,79.888785
375,6.902033,79.917523
376,6.717943,80.383844
377,9.31184,80.154385
378,6.933946,79.866091
379,6.180467,80.191894
380,7.216621,80.356875
381,7.21678,80.356737
382,7.309762,80.318744
383,7.310089,80.318009
384,7.313152,80.315961
385,7.320336,80.315494
386,7.322243,80.315403
387,6.00924,80.517624
388,6.015748,80.505073
389,7.318706,80.879651
390,8.762639,80.464347
391,5.948656,80.546991
392,9.169377,80.426548
393,9.118822,80.451885
394,9.145682,80.438556
395,9.139249,80.441761
396,9.095489,80.465188
397,9.087468,80.474551
398,9.06082,80.505729
399,9.068622,80.496654
400,9.055562,80.511232
401,9.032181,80.522361
402,8.092614,80.470232
403,6.716877,80.065903
404,7.250684,80.332389
405,7.294244,80.240876
406,7.330921,80.302214
407,7.327868,80.307569
408,7.327296,80.309475
409,7.3263,80.312244
410,7.325337,80.313343
411,7.323995,80.313827
412,7.316329,80.315063
413,7.30849,80.319764
414,7.304851,80.320825
415,7.300859,80.320681
416,7.283576,80.79446
417,7.284986,80.800766
418,6.074012,80.19494
419,6.063393,80.199694
420,6.073996,80.197938
421,6.064688,80.199033
422,6.06791,80.198201
423,7.3217,80.623704
424,6.959026,81.538627
425,6.962571,81.54085
426,6.90707,81.508212
427,6.907158,81.508904
428,6.909975,81.488601
429,7.308956,80.765956
430,6.06886,80.19824
431,7.299938,80.735834
432,7.286736,80.714403
433,7.287143,80.71418
434,7.288617,80.713204
435,7.091714,80.036908
436,7.094017,80.038868
437,7.104688,80.043114
438,7.10778,80.045206
439,7.110688,80.051196
440,7.265671,80.554689
441,7.144247,80.537131
442,7.138747,80.536987
443,7.116056,80.52567
444,6.858038,80.09083
445,7.163175,80.573019
446,7.19417,80.572695
447,7.20114,80.562435
448,7.189305,80.59222
449,7.202655,80.598646
450,7.240534,80.593386
451,7.233439,80.578746
452,7.231852,80.577466
453,7.226487,80.577286
454,7.238518,80.578284
455,7.248348,80.58076
456,7.251179,80.579575
457,7.255155,80.581934
458,7.254976,80.58967
459,7.076177,80.477627
460,7.108808,80.494547
461,7.100519,80.523746
462,7.103052,80.517501
463,7.100353,80.517729
464,7.083427,80.4974
465,7.074266,80.54083
466,7.082737,80.548065
467,7.083974,80.550841
468,7.086055,80.55377
469,7.100174,80.641758
470,6.860614,79.881883
471,6.855898,79.882135
472,6.857972,79.881875
473,6.855987,79.882131
474,6.866154,79.879734
475,6.850418,79.872023
476,7.105989,80.564041
477,7.230454,80.350437
478,7.19741,80.670417
479,7.217614,80.678485
480,7.167662,80.672855
481,7.132357,80.588846
482,7.169679,80.672565
483,7.148746,80.580246
484,7.139524,80.638684
485,7.132974,80.637766
486,7.208582,80.730111
487,7.209864,80.716815
488,7.218608,80.716794
489,7.219492,80.711612
490,7.228781,80.706553
491,7.225521,80.680841
492,7.232494,80.683203
493,7.24024,80.681044
494,7.240051,80.668668
495,7.240421,80.700658
496,6.912548,80.001595
497,5.96198,80.661338
498,7.088734,81.046987
499,7.360377,80.545985
500,7.3636,80.547713
501,7.343739,80.550548
502,7.43439,80.565743
503,7.44763,80.565777
504,7.439032,80.53612
505,7.409442,80.60937
506,7.40925,80.609558
507,7.396688,80.632667
508,7.389852,80.63518
509,7.363004,80.640595
510,7.388721,80.602298
511,7.373225,80.600181
512,7.364875,80.617257
513,7.370998,80.661063
514,7.365628,80.657438
515,7.35825,80.62267
516,7.358183,80.624826
517,7.359604,80.637989
518,7.352777,80.650147
519,7.349729,80.650566
520,7.348502,80.658637
521,9.660485,80.04165
522,8.098829,80.434425
523,6.900424,79.859427
524,7.293342,80.638572
525,7.316069,80.67711
526,6.812723,79.946944
527,6.811247,79.942934
528,6.810704,79.939438
529,6.82775,79.954582
530,7.005159,81.056566
531,6.061077,80.731312
532,7.816019,81.559028
533,6.905588,79.905021
534,6.934306,79.848958
535,6.874,79.891534
536,6.933973,79.86499
537,8.825028,80.493178
538,6.902852,79.991867
539,6.907506,79.931948
540,6.79503,79.900534
541,7.315423,80.589187
542,5.993848,80.307912
543,5.992645,80.314466
544,6.878773,79.874311
545,7.24062,81.715697
546,7.022897,81.116731
547,6.670043,79.940426
548,7.303923,80.612281
549,7.37684,81.838631
550,6.85637,79.909665
551,7.37619,80.554394
552,7.325495,80.611334
553,7.32192,80.623741
554,7.321384,80.624694
555,7.324255,80.625678
556,7.324073,80.625406
557,7.319914,80.62957
558,7.321696,80.626628
559,7.321627,80.626606
560,7.318041,80.629452
561,7.317734,80.629558
562,7.317003,80.630091
563,7.316285,80.630361
564,7.311649,80.316967
565,7.306056,80.634562
566,7.303877,80.634762
567,7.29839,80.636483
568,7.29115,80.631199
569,7.289284,80.629747
570,7.2866,80.627073
571,7.270711,80.622224
572,7.269353,80.620144
573,7.261805,80.617782
574,7.213817,79.847421
575,7.211166,79.848586
576,7.206504,79.850678
577,7.201256,79.853114
578,7.197228,79.854982
579,7.268065,80.602532
580,7.265722,80.595891
581,7.265537,80.596069
582,7.291147,80.63772
583,7.290208,80.639941
584,7.28937,80.643644
585,7.2876,80.645178
586,7.28767,80.645839
587,7.286843,80.647684
588,7.280265,80.654472
589,7.283516,80.623301
590,7.280957,80.620224
591,7.280246,80.619327
592,7.270095,80.604758
593,7.104341,79.935307
594,5.945944,80.459329
595,6.950813,80.213115
596,6.857796,79.969303
597,6.729243,80.09804
598,6.729721,80.098145
599,8.554177,80.838911
600,7.479077,80.357951
601,7.476911,80.356162
602,7.294923,80.547008
603,7.298569,80.554199
604,9.794939,79.992768
605,7.307259,80.607188
606,9.603098,79.813124
607,8.637265,80.384871
608,7.363703,80.571463
609,7.324805,80.610163
610,7.341376,80.593661
611,7.340596,80.598728
612,7.240758,80.720612
613,7.070759,80.539527
614,9.363451,80.336723
615,9.364579,80.341264
616,9.38352,80.378838
617,9.595283,80.346361
618,6.837556,79.867402
619,6.838822,79.867552
620,6.844588,79.86627
621,7.16088,80.559508
622,6.709147,79.978957
623,7.267639,80.600071
624,7.662642,80.224169
625,7.655394,80.221123
626,7.667302,80.226244
627,7.655798,80.221007
628,8.729973,80.512516
629,9.778386,80.116178
630,6.891113,79.964727
631,6.911105,79.885511
632,6.910888,79.884626
633,6.890559,79.964809
634,6.891083,79.964922
635,6.891244,79.969152
636,6.891037,79.964292
637,6.892256,79.969324
638,6.892334,79.965504
639,6.892787,79.97169
640,6.892869,79.971964
641,6.893828,79.97325
642,6.893913,79.973204
643,6.896328,79.959502
644,6.896407,79.959528
645,6.896699,79.973102
646,6.896715,79.97306
647,6.897656,79.958659
648,6.898096,79.958366
649,6.899246,79.97177
650,6.899596,79.957731
651,6.89999,79.957449
652,6.900463,79.971995
653,6.901095,79.972826
654,6.903553,79.95913
655,6.903722,79.959447
656,6.904522,79.961486
657,6.904818,79.961831
658,6.905323,79.962647
659,6.905794,79.963452
660,6.907134,79.97373
661,6.907415,79.973755
662,6.93531,79.983996
